A;142;20010720 10:12;PDANN;
D;142;1511503;30;20010720 10:12;V;;;;;;
B;142;1511507;31;20010720 10:12;;17;48;BANKS ST;MONTEREY;2217;;;20010507;20010615;350000;;R;;17;;;;7709336;
C;142;1511507;31;20010720 10:12;17//2003;
D;142;1511507;31;20010720 10:12;P;;;;;;
D;142;1511507;31;20010720 10:12;P;;;;;;
D;142;1511507;31;20010720 10:12;V;;;;;;
D;142;1511507;31;20010720 10:12;V;;;;;;
B;142;1511999;32;20010720 10:12;;;87;BARTON ST;MONTEREY;2217;;;20010205;20010531;465000;A;R;;;XD;;;7707233;
C;142;1511999;32;20010720 10:12;D//324754;
D;142;1511999;32;20010720 10:12;P;;;;;;
D;142;1511999;32;20010720 10:12;P;;;;;;
D;142;1511999;32;20010720 10:12;V;;;;;;
D;142;1511999;32;20010720 10:12;V;;;;;;
B;142;1512086;33;20010720 10:12;;;23;BATH ST;MONTEREY;2217;626;M;20010407;20010525;630000;A;R;;;XD;;;7716736;
C;142;1512086;33;20010720 10:12;21//7673;
D;142;1512086;33;20010720 10:12;P;;;;;;
D;142;1512086;33;20010720 10:12;P;;;;;;
D;142;1512086;33;20010720 10:12;V;;;;;;
B;142;1512470;34;20010720 10:12;;17;370;BAY ST;BRIGHTON-LE-SANDS;2216;;;20010419;20010614;299000;;R;;17;;;;7719935;
C;142;1512470;34;20010720 10:12;17//8124;
D;142;1512470;34;20010720 10:12;P;;;;;;
D;142;1512470;34;20010720 10:12;V;;;;;;
D;142;1512470;34;20010720 10:12;V;;;;;;
B;142;1512493;35;20010720 10:12;;19;364;BAY ST;BRIGHTON-LE-SANDS;2216;;;20010409;20010521;288000;;R;;19;;;;7717033;
C;142;1512493;35;20010720 10:12;19//11123;
D;142;1512493;35;20010720 10:12;P;;;;;;
D;142;1512493;35;20010720 10:12;P;;;;;;
D;142;1512493;35;20010720 10:12;V;;;;;;
D;142;1512493;35;20010720 10:12;V;;;;;;
B;142;1512741;36;20010720 10:12;;;82;BAY ST;ROCKDALE;2216;;;20010428;20010607;330000;A;R;;;MR;;;7684157;
C;142;1512741;36;20010720 10:12;10/2/1547;
D;142;1512741;36;20010720 10:12;P;;;;;;
D;142;1512741;36;20010720 10:12;V;;;;;;
B;142;1512859;37;20010720 10:12;;6;89;BAY ST;ROCKDALE;2216;;;20010504;20010619;181000;;R;;6;;;;7720627;
C;142;1512859;37;20010720 10:12;6//2871;
D;142;1512859;37;20010720 10:12;P;;;;;;
D;142;1512859;37;20010720 10:12;V;;;;;;
D;142;1512859;37;20010720 10:12;V;;;;;;
B;142;1513085;38;20010720 10:12;;;61;BAYVIEW ST;BEXLEY;2207;436.3;M;20010503;20010619;355000;A;R;;;XK;;;7706887;
C;142;1513085;38;20010720 10:12;3//214179;
D;142;1513085;38;20010720 10:12;P;;;;;;
D;142;1513085;38;20010720 10:12;V;;;;;;
D;142;1513085;38;20010720 10:12;V;;;;;;
B;142;1513164;39;20010720 10:12;;;2;BEACONSFIELD ST;BEXLEY;2207;;;20010606;20010606;0;A;R;;;PQ;;;7705890;
C;142;1513164;39;20010720 10:12;C//400028;
D;142;1513164;39;20010720 10:12;P;;;;;;
D;142;1513164;39;20010720 10:12;P;;;;;;
D;142;1513164;39;20010720 10:12;P;;;;;;
D;142;1513164;39;20010720 10:12;P;;;;;;
D;142;1513164;39;20010720 10:12;V;;;;;;
B;142;1513164;40;20010720 10:12;;;2;BEACONSFIELD ST;BEXLEY;2207;;;20010606;20010606;290000;A;3;Other;;PQ;;;7705891;
C;142;1513164;40;20010720 10:12;C//400028;
D;142;1513164;40;20010720 10:12;P;;;;;;
D;142;1513164;40;20010720 10:12;P;;;;;;
D;142;1513164;40;20010720 10:12;V;;;;;;
D;142;1513164;40;20010720 10:12;V;;;;;;
D;142;1513164;40;20010720 10:12;V;;;;;;
D;142;1513164;40;20010720 10:12;V;;;;;;
B;142;1513195;41;20010720 10:12;;1;32;BEACONSFIELD ST;BEXLEY;2207;;;20010328;20010509;308000;;3;Other;1;;;;7676732;
C;142;1513195;41;20010720 10:12;1//8830;
D;142;1513195;41;20010720 10:12;P;;;;;;
D;142;1513195;41;20010720 10:12;P;;;;;;
